abs_pm,duration,freeway,start_time,type
2.8,3,SR237-W,2017/4/26 16:46,1182-Trfc Collision-No Inj
2.8,1,SR237-W,2017/4/20 9:25,1182-Trfc Collision-No Inj
2.8,77,SR237-W,2017/4/20 9:41,1179-Trfc Collision-1141 Enrt
395.3,4,US101-N,2017/5/2 21:45,1125-Traffic Hazard
395.3,1,US101-N,2017/5/5 18:38,1125-Traffic Hazard
395.3,3,US101-N,2017/5/6 13:27,1125-Traffic Hazard
395.3,3,US101-N,2017/4/22 8:28,1125-Traffic Hazard
397.4,6,US101-S,2017/4/19 9:35,1125-Traffic Hazard
397.4,18,US101-S,2017/4/19 9:34,1125-Traffic Hazard
22.4,25,SR85-N,2017/5/1 10:13,1182-Trfc Collision-No Inj
22.4,35,SR85-N,2017/4/17 9:16,1183-Trfc Collision-Unkn Inj
14.2,38,SR85-N,2017/4/20 8:04,1179-Trfc Collision-1141 Enrt
14.2,273,SR85-N,2017/4/20 8:14,1179-Trfc Collision-1141 Enrt
14.2,21,SR85-S,2017/5/4 17:53,1182-Trfc Collision-No Inj
14.2,22,SR85-S,2017/5/4 17:51,1182-Trfc Collision-No Inj
14.2,2,SR85-S,2017/4/26 7:59,1125-Traffic Hazard
14.2,12,SR85-S,2017/4/26 8:55,1125-Traffic Hazard
14.2,2,SR85-S,2017/4/27 13:03,1125-Traffic Hazard
14.2,0,SR85-S,2017/4/27 18:12,1182-Trfc Collision-No Inj
14.2,8,SR85-S,2017/4/20 12:51,1125-Traffic Hazard
14.2,36,SR85-S,2017/4/21 18:25,1182-Trfc Collision-No Inj
14.2,20,SR85-S,2017/4/22 21:59,1125-Traffic Hazard
1.316,12,I680-N,2017/4/23 14:41,ANIMAL-Live or Dead Animal
1.316,8,I680-N,2017/4/24 1:00,1179-Trfc Collision-1141 Enrt
13.6,2,SR85-N,2017/4/29 2:15,1183-Trfc Collision-Unkn Inj
13.6,27,SR85-N,2017/4/21 15:56,1125-Traffic Hazard
13.6,23,SR85-S,2017/5/4 18:53,1182-Trfc Collision-No Inj
13.6,29,SR85-S,2017/5/4 18:50,1182-Trfc Collision-No Inj
383,4,US101-N,2017/5/1 6:50,1125-Traffic Hazard
383,31,US101-N,2017/5/1 6:48,1125-Traffic Hazard
383,3,US101-N,2017/5/5 7:43,1182-Trfc Collision-No Inj
383,23,US101-N,2017/5/5 7:41,1182-Trfc Collision-No Inj
383,77,US101-N,2017/4/27 6:37,1183-Trfc Collision-Unkn Inj
383,14,US101-N,2017/4/27 6:36,1183-Trfc Collision-Unkn Inj
383,57,US101-N,2017/4/28 8:13,1179-Trfc Collision-1141 Enrt
383,16,US101-N,2017/4/19 6:42,1125-Traffic Hazard
388.5,21,US101-S,2017/4/25 6:44,1183-Trfc Collision-Unkn Inj
22.2,22,SR17-N,2017/5/6 7:57,20002-Hit and Run No Injuries
22.2,14,SR17-N,2017/4/21 23:43,1183-Trfc Collision-Unkn Inj
9,2,SR85-S,2017/5/5 22:47,1183-Trfc Collision-Unkn Inj
7.1,4,I880-N,2017/5/3 12:59,1125-Traffic Hazard
8,2,I880-N,2017/4/23 8:14,1125-Traffic Hazard
8,19,I880-N,2017/4/21 18:59,1125-Traffic Hazard
7.1,70,I880-N,2017/4/22 11:09,20002-Hit and Run No Injuries
0,73,SR85-S,2017/5/3 14:39,CFIRE-Car Fire
0,5,SR85-S,2017/4/24 21:04,1125-Traffic Hazard
